pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Mi	Na	VHQE01000425.1	1220001	1240000	0.0119029581173101	18975	43364	3643128	72
Mi	Na	VHQE01000425.1	1240001	1260000	0.0135456997920699	18596	48364	3570432	0
Mi	Na	VHQE01000425.1	1260001	1280000	0.0136672188332632	19016	49900	3651072	0
Mi	Na	VHQE01000425.1	1280001	1300000	0.0148536381568133	18251	52050	3504192	0
Mi	Na	VHQE01000425.1	1300001	1320000	0.0103156216694665	18453	36548	3542976	0
Mi	Na	VHQE01000425.1	1320001	1340000	0.0073867933446776	17630	25004	3384960	0
Mi	Na	VHQE01000425.1	1340001	1360000	0.0106684904993207	17911	36688	3438912	0
Mi	Na	VHQE01000425.1	1360001	1380000	0.0102917308538732	18176	35916	3489792	0
Mi	Na	VHQE01000425.1	1380001	1400000	0.0094579400095765	19492	35396	3742464	0
Mi	Na	VHQE01000425.1	1400001	1420000	0.0100958576673812	16909	32776	3246480	48
Mi	Na	VHQE01000425.1	1420001	1440000	0.0110011767620463	18837	39788	3616704	0
Mi	Na	VHQE01000425.1	1440001	1460000	0.0121311576340098	17596	40984	3378408	24
Mi	Na	VHQE01000425.1	1460001	1480000	0.0084006243227903	19381	31260	3721152	0
Mi	Na	VHQE01000425.1	1480001	1500000	0.0084983962875763	19538	31880	3751296	0
Mi	Na	VHQE01000425.1	1500001	1520000	0.0097107022240887	19049	35516	3657408	0
Mi	Na	VHQE01000425.1	1520001	1540000	0.0099367795460891	16714	31888	3209088	0
Mi	Na	VHQE01000425.1	1540001	1560000	0.0083598868241132	18673	29972	3585216	0
Mi	Na	VHQE01000425.1	1560001	1580000	0.0069822257998852	18013	24148	3458496	0
Mi	Na	VHQE01000425.1	1580001	1600000	0.0088529877252065	18113	30788	3477696	0
Mi	Na	VHQE01000425.1	1600001	1620000	0.009030307275614	17845	30940	3426240	0
Mi	Na	VHQE01000425.1	1620001	1640000	0.0118264313692999	18105	41110	3476112	48
Mi	Na	VHQE01000425.1	1640001	1660000	0.0078241183768529	17918	26916	3440132	124
Mi	Na	VHQE01000425.1	1660001	1680000	0.0097901977049633	16877	31724	3240384	0
Mi	Na	VHQE01000425.1	1680001	1700000	0.0099939447948085	18235	34990	3501120	0
Mi	Na	VHQE01000425.1	1700001	1720000	0.0166448539728579	17670	56468	3392520	120
Mi	Na	VHQE01000425.1	1720001	1740000	0.010945951937572	18795	39500	3608640	0
Mi	Na	VHQE01000425.1	1740001	1760000	0.0078945389411507	18284	27714	3510528	0
Mi	Na	VHQE01000425.1	1760001	1780000	0.0102497463289491	17411	34264	3342912	0
Mi	Na	VHQE01000425.1	1780001	1800000	0.0150206270627062	15150	43692	2908800	0
Mi	Na	VHQE01000425.1	1800001	1820000	0.0120585165682297	14053	32536	2698176	0
Mi	Na	VHQE01000425.1	1820001	1840000	0.0086467200567502	17856	29644	3428352	0
Mi	Na	VHQE01000425.1	1840001	1860000	0.0095698272375339	17307	31800	3322944	0
Mi	Na	VHQE01000425.1	1860001	1880000	0.0076680632350985	17543	25828	3368256	0
Mi	Na	VHQE01000425.1	1880001	1900000	0.008563023855577	17578	28900	3374976	0
Mi	Na	VHQE01000425.1	1900001	1920000	0.0089046439060205	18160	31048	3486720	0
Mi	Na	VHQE01000425.1	1920001	1940000	0.0085408131863904	17331	28420	3327552	0
Mi	Na	VHQE01000425.1	1940001	1960000	0.0080432534213248	18411	28432	3534888	24
Mi	Na	VHQE01000425.1	1960001	1980000	0.0058969057318026	16202	18344	3110784	0
Mi	Na	VHQE01000425.1	1980001	2000000	0.0075263985621208	13353	19296	2563776	0
Mi	Na	VHQE01000425.1	2000001	2020000	0.0291799455746674	11455	64166	2198976	384
Mi	Na	VHQE01000425.1	2020001	2040000	0.0073489681377675	19124	26984	3671808	0
Mi	Na	VHQE01000425.1	2040001	2060000	0.0073134317847308	17750	24924	3407976	24
Mi	Na	VHQE01000425.1	2060001	2080000	0.0068820846617074	18820	24868	3613440	0
Mi	Na	VHQE01000425.1	2080001	2100000	0.0073702830188679	18444	26100	3541248	0
Mi	Na	VHQE01000425.1	2100001	2120000	0.0067647574510807	17348	22532	3330792	24
Mi	Na	VHQE01000425.1	2120001	2140000	0.0100417548812044	17004	32784	3264768	0
Mi	Na	VHQE01000425.1	2140001	2160000	0.0117447162093062	17601	39690	3379392	0
Mi	Na	VHQE01000425.1	2160001	2180000	0.0081341097244813	18290	28564	3511632	48
Mi	Na	VHQE01000425.1	2180001	2200000	0.0097482567477572	17018	31852	3267456	0
Mi	Na	VHQE01000425.1	2200001	2220000	0.0067010891033237	17721	22800	3402432	0
Mi	Na	VHQE01000425.1	2220001	2240000	0.0106846882399368	19005	38988	3648960	0
Mi	Na	VHQE01000425.1	2240001	2260000	0.0072530482143962	16157	22500	3102144	0
Mi	Na	VHQE01000425.1	2260001	2280000	0.0085148017840325	18759	30668	3601728	0
Mi	Na	VHQE01000425.1	2280001	2300000	0.0099646044936903	18411	35224	3534912	0
Mi	Na	VHQE01000425.1	2300001	2320000	0.0079870158068438	19190	29428	3684480	0
Mi	Na	VHQE01000425.1	2320001	2340000	0.0071313807090554	18983	25992	3644736	0
Mi	Na	VHQE01000425.1	2340001	2360000	0.0058393377937896	19430	21784	3730560	0
Mi	Na	VHQE01000425.1	2360001	2380000	0.0080033438929954	18940	29104	3636480	0
Mi	Na	VHQE01000425.1	2380001	2400000	0.0071819174412096	18165	25048	3487648	32
Mi	Na	VHQE01000425.1	2400001	2420000	0.0072235455989817	18594	25788	3569992	56
Mi	Na	VHQE01000425.1	2420001	2440000	0.0051452334749392	19067	18836	3660864	0
Mi	Na	VHQE01000425.1	2440001	2460000	0.0062304874307472	18471	22096	3546432	0
Mi	Na	VHQE01000425.1	2460001	2480000	0.0064742744063324	18950	23556	3638400	0
Mi	Na	VHQE01000425.1	2480001	2500000	0.0055262128325508	19596	20792	3762432	0
Mi	Na	VHQE01000425.1	2500001	2520000	0.0064381831305423	19396	23976	3724032	0
Mi	Na	VHQE01000425.1	2520001	2540000	0.0116767685270926	14849	33290	2850960	48
Mi	Na	VHQE01000425.1	2540001	2560000	0.0068072263458749	19535	25532	3750720	0
Mi	Na	VHQE01000425.1	2560001	2580000	0.0087174485850186	19482	32608	3740544	0
Mi	Na	VHQE01000425.1	2580001	2600000	0.0079785647319526	19555	29956	3754560	0
Mi	Na	VHQE01000425.1	2600001	2620000	0.009378365643511	18570	33438	3565440	0
Mi	Na	VHQE01000425.1	2620001	2640000	0.0069370708572237	18836	25088	3616512	0
Mi	Na	VHQE01000425.1	2640001	2660000	0.0096336512888195	16669	30832	3200448	0
Mi	Na	VHQE01000425.1	2660001	2680000	0.0067790018270291	18427	23984	3537984	0
Mi	Na	VHQE01000425.1	2680001	2700000	0.0091160956252419	18942	33154	3636864	0
Mi	Na	VHQE01000425.1	2700001	2720000	0.0091228070175438	18525	32448	3556800	0
Mi	Na	VHQE01000425.1	2720001	2740000	0.0114665868189914	16281	35844	3125952	0
Mi	Na	VHQE01000425.1	2740001	2760000	0.0122334380640417	14959	35136	2872128	0
Mi	Na	VHQE01000425.1	2760001	2780000	0.0117312408043158	14869	33488	2854600	248
Mi	Na	VHQE01000425.1	2780001	2800000	0.0079463134630732	16289	24852	3127488	0
Mi	Na	VHQE01000425.1	2800001	2820000	0.0090318549090274	17203	29832	3302976	0
Mi	Na	VHQE01000425.1	2820001	2840000	0.0098942513218584	18519	35180	3555600	48
Mi	Na	VHQE01000425.1	2840001	2860000	0.0097333597191629	14528	27150	2789376	0
Mi	Na	VHQE01000425.1	2860001	2880000	0.0108933420644364	17753	37130	3408504	72
Mi	Na	VHQE01000425.1	2880001	2900000	0.0107734096832213	18162	37568	3487104	0
Mi	Na	VHQE01000425.1	2900001	2920000	0.0092834873622091	17962	32016	3448704	0
Mi	Na	VHQE01000425.1	2920001	2940000	0.0085118845180062	17642	28832	3387264	0
Mi	Na	VHQE01000425.1	2940001	2960000	0.0107136532672215	17647	36300	3388200	24
Mi	Na	VHQE01000425.1	2960001	2980000	0.0084054544373066	16812	27132	3227904	0
Mi	Na	VHQE01000425.1	2980001	3000000	0.007527084030178	17938	25924	3444096	0
Mi	Na	VHQE01000425.1	3000001	3020000	0.0068049592927743	18363	23992	3525664	32
Mi	Na	VHQE01000425.1	3020001	3040000	0.0061281040179047	18766	22080	3603072	0
Mi	Na	VHQE01000425.1	3040001	3060000	0.0078857982190397	18155	27488	3485760	0
Mi	Na	VHQE01000425.1	3060001	3080000	0.0084081074201349	18333	29596	3519936	0
Mi	Na	VHQE01000425.1	3080001	3100000	0.0084813523232191	19177	31228	3681960	24
Mi	Na	VHQE01000425.1	3100001	3120000	0.0079121916205869	18808	28572	3611136	0
Mi	Na	VHQE01000425.1	3120001	3140000	0.0081359425577194	18639	29116	3578688	0
Mi	Na	VHQE01000425.1	3140001	3160000	0.0089826461681807	18603	32084	3571776	0
Mi	Na	VHQE01000425.1	3160001	3180000	0.0087529843415582	19215	32292	3689256	24
Mi	Na	VHQE01000425.1	3180001	3200000	0.0082503286048377	19527	30932	3749184	0
Mi	Na	VHQE01000425.1	3200001	3220000	0.007864910192599	18484	27912	3548928	0
Mi	Na	VHQE01000425.1	3220001	3240000	0.0078309082778666	19381	29140	3721152	0
Mi	Na	VHQE01000425.1	3240001	3260000	0.0082391649955738	18451	29188	3542592	0
Mi	Na	VHQE01000425.1	3260001	3280000	0.0104108615693267	17944	35868	3445248	0
Mi	Na	VHQE01000425.1	3280001	3300000	0.0061857604804249	17318	20568	3325056	0
Mi	Na	VHQE01000425.1	3300001	3320000	0.0064751478856473	18201	22628	3494592	0
Mi	Na	VHQE01000425.1	3320001	3340000	0.006865808253512	19484	25684	3740856	72
Mi	Na	VHQE01000425.1	3340001	3360000	0.008944993808275	18304	31436	3514368	0
Mi	Na	VHQE01000425.1	3360001	3380000	0.0080209120184471	18865	29052	3622032	48
Mi	Na	VHQE01000425.1	3380001	3400000	0.007025274359827	18042	24336	3464064	0
Mi	Na	VHQE01000425.1	3400001	3420000	0.0090056488746329	18433	31872	3539112	24
Mi	Na	VHQE01000425.1	3420001	3440000	0.0064950863358754	18325	22852	3518352	48
Mi	Na	VHQE01000425.1	3440001	3460000	0.013028387898881	12065	30180	2316480	0
Mi	Na	VHQE01000425.1	3460001	3480000	0.0067133351355709	17571	22648	3373584	48
Mi	Na	VHQE01000425.1	3480001	3500000	0.0137509938635297	18395	48564	3531672	168
Mi	Na	VHQE01000425.1	3500001	3520000	0.0080979485197083	18755	29160	3600912	48
Mi	Na	VHQE01000425.1	3520001	3540000	0.0056926246830092	18928	20688	3634176	0
Mi	Na	VHQE01000425.1	3540001	3560000	0.0078122104873077	17990	26984	3454080	0
Mi	Na	VHQE01000425.1	3560001	3580000	0.0069138357342506	18604	24696	3571968	0
Mi	Na	VHQE01000425.1	3580001	3600000	0.009074306718779	17910	31204	3438720	0
Mi	Na	VHQE01000425.1	3600001	3620000	0.0075124291047454	18572	26788	3565824	0
Mi	Na	VHQE01000425.1	3620001	3640000	0.0126569923326591	17716	43052	3401440	32
Mi	Na	VHQE01000425.1	3640001	3660000	0.0105606868988201	17431	35344	3346752	0
Mi	Na	VHQE01000425.1	3660001	3680000	0.0086733408890567	18529	30856	3557568	0
Mi	Na	VHQE01000425.1	3680001	3700000	0.0091065072002588	18541	32418	3559872	0
Mi	Na	VHQE01000425.1	3700001	3720000	0.0084907223326706	17605	28700	3380160	0
Mi	Na	VHQE01000425.1	3720001	3740000	0.0077755555555555	18750	27992	3600000	0
Mi	Na	VHQE01000425.1	3740001	3760000	0.0057693867618429	18492	20484	3550464	0
Mi	Na	VHQE01000425.1	3760001	3780000	0.0078687619874787	18422	27832	3537024	0
Mi	Na	VHQE01000425.1	3780001	3800000	0.0102472393439018	18191	35790	3492648	24
Mi	Na	VHQE01000425.1	3800001	3820000	0.0103622483099272	18879	37560	3624696	72
Mi	Na	VHQE01000425.1	3820001	3840000	0.0170722856145379	18141	59464	3483072	0
Mi	Na	VHQE01000425.1	3840001	3860000	0.0110416962788987	18468	39152	3545832	24
Mi	Na	VHQE01000425.1	3860001	3880000	0.0140187974695016	18389	49496	3530688	0
Mi	Na	VHQE01000425.1	3880001	3900000	0.0179872807739434	18227	62948	3499584	0
Mi	Na	VHQE01000425.1	3900001	3920000	0.0114886556289001	18482	40768	3548544	0
Mi	Na	VHQE01000425.1	3920001	3940000	0.0138200767720049	18671	49540	3584640	192
Mi	Na	VHQE01000425.1	3940001	3960000	0.0118932605245962	17856	40772	3428160	192
Mi	Na	VHQE01000425.1	3960001	3980000	0.012637995393535	16788	40736	3223296	0
Mi	Na	VHQE01000425.1	3980001	4000000	0.0096865711969737	18505	34416	3552960	0
Mi	Na	VHQE01000425.1	4000001	4020000	0.0092010732572743	18977	33524	3643488	96
Mi	Na	VHQE01000425.1	4020001	4040000	0.010483794987752	17690	35608	3396480	0
Mi	Na	VHQE01000425.1	4040001	4060000	0.0101022954091816	16700	32392	3206400	0
Mi	Na	VHQE01000425.1	4060001	4080000	0.0108150128198134	18331	38064	3519552	0
Mi	Na	VHQE01000425.1	4080001	4100000	0.0074200298148247	18559	26440	3563328	0
Mi	Na	VHQE01000425.1	4100001	4120000	0.0076270400593471	18872	27636	3623424	0
Mi	Na	VHQE01000425.1	4120001	4140000	0.0101300339504436	17771	34564	3412032	0
Mi	Na	VHQE01000425.1	4140001	4160000	0.0081167759901806	18943	29520	3636912	144
Mi	Na	VHQE01000425.1	4160001	4180000	0.0092734290357529	18460	32868	3544320	0
Mi	Na	VHQE01000425.1	4180001	4200000	0.0091046463592285	19164	33500	3679440	48
Mi	Na	VHQE01000425.1	4200001	4220000	0.0076225288326492	18364	26876	3525864	24
Mi	Na	VHQE01000425.1	4220001	4240000	0.0090390751807584	18072	31364	3469824	0
Mi	Na	VHQE01000425.1	4240001	4260000	0.0102256595459552	18345	36016	3522120	120
Mi	Na	VHQE01000425.1	4260001	4280000	0.0109702534303321	18357	38664	3524440	104
Mi	Na	VHQE01000425.1	4280001	4300000	0.0082177592686291	19270	30404	3699792	48
Mi	Na	VHQE01000425.1	4300001	4320000	0.0130421893951737	18413	46108	3535296	0
Mi	Na	VHQE01000425.1	4320001	4340000	0.0099312580714593	18584	35436	3568128	0
Mi	Na	VHQE01000425.1	4340001	4360000	0.0075108231064149	18171	26204	3488832	0
Mi	Na	VHQE01000425.1	4360001	4380000	0.0111967587175286	17092	36744	3281664	0
Mi	Na	VHQE01000425.1	4380001	4400000	0.0080276321027398	19259	29684	3697728	0
Mi	Na	VHQE01000425.1	4400001	4420000	0.0089671213288888	17950	30904	3446368	32
Mi	Na	VHQE01000425.1	4420001	4440000	0.0072408604448243	18719	26024	3594048	0
Mi	Na	VHQE01000425.1	4440001	4460000	0.013415462756283	16128	41542	3096576	0
Mi	Na	VHQE01000425.1	4460001	4480000	0.0148815111500511	15979	45656	3067968	0
Mi	Na	VHQE01000425.1	4480001	4500000	0.0100536067839665	17846	34448	3426432	0
Mi	Na	VHQE01000425.1	4500001	4520000	0.0074847738315198	19484	28000	3740928	0
Mi	Na	VHQE01000425.1	4520001	4540000	0.0081815069110306	18497	29056	3551424	0
Mi	Na	VHQE01000425.1	4540001	4560000	0.0095327301473421	18817	34440	3612816	48
Mi	Na	VHQE01000425.1	4560001	4580000	0.0074038091636401	19171	27252	3680808	24
Mi	Na	VHQE01000425.1	4580001	4600000	0.0097411135291984	18380	34376	3528960	0
Mi	Na	VHQE01000425.1	4600001	4620000	0.0092243874979896	18653	33036	3581376	0
Mi	Na	VHQE01000425.1	4620001	4640000	0.0122934092743414	18172	42892	3489024	0
Mi	Na	VHQE01000425.1	4640001	4660000	0.0081431472780158	19367	30280	3718464	0
Mi	Na	VHQE01000425.1	4660001	4680000	0.0139789509814835	17966	48220	3449472	0
Mi	Na	VHQE01000425.1	4680001	4700000	0.0089620442262312	17516	30140	3363072	0
Mi	Na	VHQE01000425.1	4700001	4720000	0.0092250310911152	18226	32282	3499392	0
Mi	Na	VHQE01000425.1	4720001	4740000	0.0113358477131381	18726	40756	3595320	72
Mi	Na	VHQE01000425.1	4740001	4760000	0.0084553890876565	17888	29040	3434496	0
Mi	Na	VHQE01000425.1	4760001	4780000	0.0067726558995065	18575	24154	3566400	0
Mi	Na	VHQE01000425.1	4780001	4800000	0.0110509667646796	18705	39688	3591360	0
Mi	Na	VHQE01000425.1	4800001	4820000	0.0100759774702396	19293	37324	3704256	0
Mi	Na	VHQE01000425.1	4820001	4840000	0.0085872976412819	19610	32332	3765096	24
Mi	Na	VHQE01000425.1	4840001	4860000	0.0114792292817035	17884	39416	3433680	48
Mi	Na	VHQE01000425.1	4860001	4880000	0.0126799417464851	17853	43464	3427776	0
Mi	Na	VHQE01000425.1	4880001	4900000	0.0092770777314985	18967	33784	3641664	0
Mi	Na	VHQE01000425.1	4900001	4920000	0.0090155374512153	18673	32322	3585144	72
Mi	Na	VHQE01000425.1	4920001	4940000	0.0092288550545935	18653	33052	3581376	0
Mi	Na	VHQE01000425.1	4940001	4960000	0.0067558835456802	18700	24256	3590352	48
Mi	Na	VHQE01000425.1	4960001	4980000	0.0119960969741671	18981	43718	3644352	0
Mi	Na	VHQE01000425.1	4980001	5000000	0.0111686296859169	18424	39508	3537408	0
Mi	Na	VHQE01000425.1	5000001	5020000	0.0077973559742575	17196	25744	3301632	0
Mi	Na	VHQE01000425.1	5020001	5040000	0.010247281088264	19064	37508	3660288	0
Mi	Na	VHQE01000425.1	5040001	5060000	0.0089936058748929	18826	32508	3614568	24
Mi	Na	VHQE01000425.1	5060001	5080000	0.0098604065528464	18333	34708	3519936	0
Mi	Na	VHQE01000425.1	5080001	5100000	0.011280126481738	16630	36016	3192872	88
Mi	Na	VHQE01000425.1	5100001	5120000	0.0083088708380247	18651	29754	3580992	0
Mi	Na	VHQE01000425.1	5120001	5140000	0.011019380042031	19668	41612	3776256	0
Mi	Na	VHQE01000425.1	5140001	5160000	0.007651861165281	19486	28628	3741312	0
Mi	Na	VHQE01000425.1	5160001	5180000	0.0099937914540676	19060	36572	3659472	48
Mi	Na	VHQE01000425.1	5180001	5200000	0.0086192968850975	18053	29876	3466176	0
Mi	Na	VHQE01000425.1	5200001	5220000	0.0093005952380952	18928	33800	3634176	0
Mi	Na	VHQE01000425.1	5220001	5240000	0.0073834819867086	19060	27020	3659520	0
Mi	Na	VHQE01000425.1	5240001	5260000	0.0075740085167513	19491	28344	3742272	0
Mi	Na	VHQE01000425.1	5260001	5280000	0.011645969442428	19286	43124	3702912	0
Mi	Na	VHQE01000425.1	5280001	5300000	0.0081812935014816	19348	30392	3714816	0
Mi	Na	VHQE01000425.1	5300001	5320000	0.0116310581564489	17989	40172	3453856	32
Mi	Na	VHQE01000425.1	5320001	5340000	0.0076375143244087	19198	28152	3686016	0
Mi	Na	VHQE01000425.1	5340001	5360000	0.0092572643546084	19146	34030	3676032	0
Mi	Na	VHQE01000425.1	5360001	5380000	0.0071216093576686	19834	27120	3808128	0
Mi	Na	VHQE01000425.1	5380001	5400000	0.007032777747318	18239	24628	3501888	0
Mi	Na	VHQE01000425.1	5400001	5420000	0.0105401243236158	17803	36028	3418176	0
Mi	Na	VHQE01000425.1	5420001	5440000	0.0098140047562012	19203	36184	3686976	0
Mi	Na	VHQE01000425.1	5440001	5460000	0.0120496228769873	18429	42636	3538368	0
Mi	Na	VHQE01000425.1	5460001	5480000	0.0103423218602509	17374	34500	3335808	0
Mi	Na	VHQE01000425.1	5480001	5500000	0.0094177929732713	18719	33848	3594048	0
Mi	Na	VHQE01000425.1	5500001	5520000	0.0088846071505031	18684	31872	3587328	0
Mi	Na	VHQE01000425.1	5520001	5540000	0.0090216056960471	16971	29396	3258400	32
Mi	Na	VHQE01000425.1	5540001	5560000	0.008834214002642	18168	30816	3488256	0
Mi	Na	VHQE01000425.1	5560001	5580000	0.0084468325198131	19053	30900	3658176	0
Mi	Na	VHQE01000425.1	5580001	5600000	0.0084541375442229	19315	31352	3708480	0
Mi	Na	VHQE01000425.1	5600001	5620000	0.0100706383177788	17814	34444	3420240	48
Mi	Na	VHQE01000425.1	5620001	5640000	0.0088653781004788	18203	30984	3494944	32
Mi	Na	VHQE01000425.1	5640001	5660000	0.0117479918411977	15852	35756	3043584	0
Mi	Na	VHQE01000425.1	5660001	5680000	0.0102843285162246	18891	37302	3627072	0
Mi	Na	VHQE01000425.1	5680001	5700000	0.0110737018746499	19566	41600	3756648	24
Mi	Na	VHQE01000425.1	5700001	5720000	0.0091135898665118	18513	32394	3554472	24
Mi	Na	VHQE01000425.1	5720001	5740000	0.0099894743332276	18922	36292	3633024	0
Mi	Na	VHQE01000425.1	5740001	5760000	0.0071192891223011	19422	26548	3729024	0
Mi	Na	VHQE01000425.1	5760001	5780000	0.0154783524796335	17758	52774	3409536	0
Mi	Na	VHQE01000425.1	5780001	5800000	0.0091088018687922	18693	32692	3589056	0
Mi	Na	VHQE01000425.1	5800001	5820000	0.0147963398936569	16088	45704	3088872	24
Mi	Na	VHQE01000425.1	5820001	5840000	0.0087983174170077	18325	30956	3518400	0
Mi	Na	VHQE01000425.1	5840001	5860000	0.0132451589609106	17541	44608	3367872	0
Mi	Na	VHQE01000425.1	5860001	5880000	0.0135508359425769	16927	44040	3249984	0
Mi	Na	VHQE01000425.1	5880001	5900000	0.0114842508623028	17202	37930	3302784	0
Mi	Na	VHQE01000425.1	5900001	5920000	0.0123753782054461	17641	41916	3387048	24
Mi	Na	VHQE01000425.1	5920001	5940000	0.0123408373697343	18168	43048	3488256	0
Mi	Na	VHQE01000425.1	5940001	5960000	0.010468043567612	12976	26080	2491392	0
Mi	Na	VHQE01000425.1	5960001	5980000	0.0097732825109566	19119	35876	3670824	24
Mi	Na	VHQE01000425.1	5980001	6000000	0.0105765574223881	19284	39160	3702528	0
Mi	Na	VHQE01000425.1	6000001	6020000	0.0083974718385238	19619	31632	3766848	0
Mi	Na	VHQE01000425.1	6020001	6040000	0.0446023161304122	6821	58388	1309080	552
Mi	Na	VHQE01000425.1	6040001	6060000	0.0200842846473914	18746	72288	3599232	0
Mi	Na	VHQE01000425.1	6060001	6080000	0.012841484603157	18034	44464	3462528	0
Mi	Na	VHQE01000425.1	6080001	6100000	0.0204111335642802	17320	67876	3325440	0
